,id,Reference,Date,Computation,Number of qubits,Number of two-qubit gates,Number of single-qubit gates,Total number of gates,Circuit depth,Circuit depth measure,Institution,Computer,Error mitigation,status,Computations,Error mitigations,Year
0,1,https://arxiv.org/abs/2407.14431,2024-07-19,"['Hadamard test', 'Trotter']",56,900.0,,,,,IBM,Monte Carlo,"['Dynamical decoupling', 'Pauli twirling', 'Probabilistic error amplification', 'Readout error mitigation']",APPROVED,"Hadamard test, Trotter","Dynamical decoupling, Pauli twirling, Probabilistic error amplification, Readout error mitigation",2024
1,2,https://arxiv.org/abs/2401.08044,2024-01-16,['Trotter'],112,13858.0,,,370.0,  CNOT depth,IBM,Torino,['No Data'],APPROVED,Trotter,No Data,2024
2,3,https://arxiv.org/abs/2312.12831,2023-12-20,['VQE'],12,,,,,,Unnamed,Unnamed,"['Zero noise extrapolation', 'Pauli twirling', 'Dynamical decoupling']",APPROVED,VQE,"Zero noise extrapolation, Pauli twirling, Dynamical decoupling",2023
3,4,https://arxiv.org/abs/2306.09333,2023-06-15,"['Floquet', 'Trotter']",46,1058.0,,,23.0,Cycles,Google,Sycamore,['Bitstring postselection'],APPROVED,"Floquet, Trotter",Bitstring postselection,2023
4,5,https://www.nature.com/articles/s41586-023-06096-3,2023-06-14,['Trotter'],127,2880.0,,,60.0,CNOT depth,IBM,Unnamed,"['Zero noise extrapolation', 'Readout error mitigation']",APPROVED,Trotter,"Zero noise extrapolation, Readout error mitigation",2023
5,6,https://arxiv.org/abs/2304.11119,2023-04-21,['Random circuit'],67,880.0,,,32.0,Cycles,Google,Sycamore,['No Data'],APPROVED,Random circuit,No Data,2023
6,7,https://arxiv.org/abs/2204.11372,2022-04-24,['Floquet'],47,14100.0,,,300.0,Cycles,Google,Sycamore,['Floquet calibration'],APPROVED,Floquet,Floquet calibration,2022
7,8,https://arxiv.org/abs/2107.13571,2022-03-29,"['QITE', 'VQE']",11,100.0,,,,,Google,Sycamore,['No Data'],APPROVED,"QITE, VQE",No Data,2022
8,9,https://arxiv.org/abs/2107.13571,2021-07-28,"['Hadamard test', 'Floquet']",20,1000.0,,,100.0,Cycles,Google,Sycamore,['No Data'],APPROVED,"Hadamard test, Floquet",No Data,2021
9,10,https://arxiv.org/abs/2101.08870,2021-01-21,"['Random circuit', 'OTOC']",53,650.0,,,24.0,Cycles,Google,Sycamore,['No Data'],APPROVED,"Random circuit, OTOC",No Data,2021
10,11,https://arxiv.org/abs/2004.04174,2020-04-08,['VQE'],12,72.0,,,,,Google,Sycamore,['No Data'],APPROVED,VQE,No Data,2020
11,12,https://arxiv.org/abs/2004.04197,2020-04-08,['QAOA'],23,345.0,,,,,Google,Sycamore,['No Data'],APPROVED,QAOA,No Data,2020
12,28,SAHAN,2025-07-17,['S'],20,,,,,,SAHANA,J,['S'],APPROVED,S,S,2025
